17
wsdbm:AgeGroup 9
wsdbm:City 240
wsdbm:Country 250
wsdbm:Gender 2
wsdbm:Genre 21
wsdbm:Language 35
wsdbm:Offer 119700
wsdbm:Product 33250
wsdbm:ProductCategory 15
wsdbm:Purchase 199500
wsdbm:Retailer 1596
wsdbm:Review 199500
wsdbm:Role 3
wsdbm:SubGenre 145
wsdbm:Topic 250
wsdbm:User 133000
wsdbm:Website 6650
39
